Class,Precision,Recall,F1-score,Support
0,33.33,8.40,13.42,250
1,56.20,61.60,58.78,500
2,38.22,34.40,36.21,250
3,0.00,0.00,0.00,0
4,45.99,41.50,41.80,
0,N/A,N/A,N/A,Support: 500
1,N/A,N/A,N/A,Support: 250
-1,N/A,N/A,N/A,Support: 250
